account_id,customer_id,open_date,credit_limit,apr,utilization,current_balance,status
1,1,2016-01-19,8528.45,0.218,0.3663,3123.84,ACTIVE
2,2,2017-10-10,9038.52,0.1978,0.3218,2908.9,ACTIVE
3,3,2020-12-23,9629.0,0.2448,0.3741,3601.91,ACTIVE
4,4,2024-04-06,4825.94,0.2468,0.5039,2431.8,ACTIVE
5,5,2023-07-11,4905.24,0.234,0.5313,2606.36,ACTIVE
6,6,2022-08-15,3565.68,0.2735,0.512,1825.72,ACTIVE
7,7,2021-01-22,2827.72,0.243,0.4845,1369.95,ACTIVE
8,8,2016-04-18,9519.1,0.211,0.2639,2511.71,ACTIVE
9,9,2023-11-08,5140.57,0.2225,0.394,2025.33,ACTIVE
10,10,2019-05-03,5722.18,0.2078,0.3186,1822.93,ACTIVE
11,11,2021-08-20,5411.76,0.183,0.2672,1446.08,ACTIVE
12,12,2024-08-04,3793.3,0.2436,0.3544,1344.17,ACTIVE
13,13,2018-12-04,7815.22,0.2418,0.3575,2793.92,ACTIVE
14,14,2018-02-07,1996.41,0.2435,0.4799,958.15,ACTIVE
15,15,2015-07-23,3852.15,0.2186,0.3749,1444.35,ACTIVE
16,16,2020-01-28,5002.02,0.2303,0.3261,1631.26,ACTIVE
17,17,2021-10-19,3806.79,0.272,0.577,2196.35,ACTIVE
18,18,2016-08-16,3943.79,0.2344,0.4868,1919.79,ACTIVE
19,19,2022-08-15,4407.0,0.2204,0.3517,1549.99,ACTIVE
20,20,2018-05-08,5585.8,0.2072,0.2555,1427.14,ACTIVE
21,21,2015-09-21,9216.02,0.199,0.184,1695.88,CLOSED
22,22,2025-01-01,5955.52,0.1894,0.1558,927.95,CLOSED
23,23,2015-11-20,2810.5,0.2555,0.3424,962.24,ACTIVE
24,24,2023-01-12,3322.98,0.2535,0.3191,1060.52,ACTIVE
25,25,2020-04-27,7264.46,0.1816,0.33,2397.0,ACTIVE
26,26,2022-07-16,4437.82,0.2238,0.2409,1069.03,ACTIVE
27,27,2023-08-10,7236.02,0.1982,0.2631,1904.01,ACTIVE
28,28,2018-02-07,5493.82,0.253,0.4947,2717.62,ACTIVE
29,29,2020-04-27,4357.09,0.1898,0.4328,1885.94,ACTIVE
30,30,2019-12-29,2900.68,0.2745,0.4573,1326.49,ACTIVE
31,31,2020-03-28,10602.81,0.198,0.2493,2643.34,ACTIVE
32,32,2017-09-10,3896.12,0.2246,0.4448,1733.04,CLOSED
33,33,2015-07-23,5403.57,0.1972,0.3262,1762.82,ACTIVE
34,34,2019-12-29,4410.88,0.2557,0.4307,1899.92,ACTIVE
35,35,2023-07-11,2751.27,0.2618,0.4138,1138.53,ACTIVE
36,36,2021-10-19,5071.4,0.2619,0.4382,2222.21,ACTIVE
37,37,2020-02-27,3681.31,0.2502,0.4188,1541.56,ACTIVE
38,38,2024-01-07,8567.21,0.2116,0.2825,2420.64,ACTIVE
39,39,2022-10-14,4584.59,0.2313,0.2144,982.79,ACTIVE
40,40,2023-01-12,3744.53,0.2277,0.4394,1645.42,ACTIVE
41,41,2015-06-23,2690.49,0.2576,0.3388,911.63,ACTIVE
42,42,2021-01-22,2875.18,0.2441,0.5856,1683.76,ACTIVE
43,43,2016-05-18,6238.15,0.2148,0.3209,2001.99,ACTIVE
44,44,2019-08-01,6184.6,0.2317,0.3998,2472.8,ACTIVE
45,45,2020-01-28,3271.28,0.2412,0.5638,1844.28,ACTIVE
46,46,2015-10-21,8496.15,0.1839,0.3064,2603.29,ACTIVE
47,47,2018-03-09,5016.45,0.1727,0.2209,1107.93,ACTIVE
48,48,2022-09-14,5175.08,0.2143,0.3033,1569.59,ACTIVE
49,49,2022-04-17,8208.21,0.221,0.3576,2935.35,CLOSED
50,50,2018-07-07,6734.87,0.2002,0.2196,1478.7,ACTIVE
51,51,2025-01-01,3788.54,0.2137,0.2836,1074.31,ACTIVE
52,52,2023-07-11,8509.71,0.2045,0.3201,2724.16,ACTIVE
53,53,2024-05-06,5675.46,0.2204,0.3031,1719.99,ACTIVE
54,54,2018-01-08,4985.06,0.2164,0.3084,1537.4,ACTIVE
55,55,2020-09-24,2627.17,0.267,0.5295,1390.97,ACTIVE
56,56,2024-12-02,9875.68,0.186,0.0732,722.93,ACTIVE
57,57,2017-10-10,3242.93,0.2438,0.2354,763.52,ACTIVE
58,58,2018-08-06,9150.01,0.2146,0.2879,2634.01,ACTIVE
59,59,2017-12-09,3300.41,0.2102,0.4058,1339.25,ACTIVE
60,60,2023-06-11,4421.79,0.1827,0.1677,741.37,ACTIVE
61,61,2016-06-17,8166.04,0.2359,0.4353,3555.06,ACTIVE
62,62,2023-04-12,9719.49,0.2132,0.2092,2033.55,ACTIVE
63,63,2019-06-02,4506.52,0.207,0.4006,1805.5,ACTIVE
64,64,2019-07-02,3216.35,0.2238,0.4338,1395.35,ACTIVE
65,65,2022-11-13,5614.08,0.2174,0.4331,2431.4,ACTIVE
66,66,2021-04-22,6618.28,0.1983,0.4624,3060.31,ACTIVE
67,67,2024-07-05,6089.2,0.2125,0.2855,1738.28,ACTIVE
68,68,2020-05-27,4421.21,0.2185,0.3507,1550.67,ACTIVE
69,69,2018-05-08,10672.47,0.1794,0.3114,3323.66,ACTIVE
70,70,2021-12-18,1782.36,0.3018,0.6374,1136.07,ACTIVE
71,71,2019-09-30,3351.0,0.2306,0.5,1675.66,ACTIVE
72,72,2015-08-22,2975.09,0.2446,0.3248,966.41,ACTIVE
73,73,2022-09-14,3976.76,0.2421,0.4047,1609.25,ACTIVE
74,74,2022-03-18,4739.1,0.2464,0.6578,3117.24,ACTIVE
75,75,2023-11-08,4518.14,0.2076,0.2857,1290.87,ACTIVE
76,76,2019-08-31,6435.76,0.2067,0.2757,1774.55,ACTIVE
77,77,2023-01-12,5620.88,0.2356,0.1946,1093.56,ACTIVE
78,78,2016-08-16,4400.97,0.2257,0.443,1949.64,ACTIVE
79,79,2022-03-18,7844.69,0.2317,0.3009,2360.55,ACTIVE
80,80,2018-07-07,6466.15,0.2001,0.3583,2317.14,ACTIVE
