customer_id,age,tenure_months,income_band,region,risk_score
1,25,109,HIGH,NORTHEAST,678
2,62,88,HIGH,WEST,687
3,56,49,HIGH,NORTHEAST,700
4,44,9,MID,MIDWEST,615
5,44,18,MID,SOUTH,614
6,67,29,MID,NORTHEAST,500
7,25,48,LOW,WEST,617
8,58,106,HIGH,SOUTH,712
9,31,14,MID,SOUTH,640
10,26,69,MID,NORTHEAST,696
11,49,41,LOW,NORTHEAST,762
12,73,5,LOW,MIDWEST,621
13,60,74,HIGH,SOUTH,613
14,62,84,LOW,MIDWEST,590
15,59,115,LOW,NORTHEAST,693
16,63,60,MID,SOUTH,617
17,48,39,MID,NORTHEAST,507
18,27,102,LOW,WEST,657
19,66,29,LOW,SOUTH,683
20,45,81,MID,SOUTH,636
21,48,113,HIGH,NORTHEAST,687
22,41,0,MID,WEST,680
23,30,111,MID,SOUTH,517
24,71,24,LOW,WEST,595
25,63,57,MID,MIDWEST,796
26,55,30,MID,SOUTH,602
27,42,17,HIGH,MIDWEST,642
28,65,84,MID,MIDWEST,598
29,50,57,LOW,MIDWEST,711
30,44,61,LOW,NORTHEAST,501
31,45,58,HIGH,SOUTH,755
32,33,89,LOW,WEST,683
33,25,115,MID,MIDWEST,651
34,50,61,MID,WEST,544
35,68,18,LOW,WEST,587
36,24,39,MID,MIDWEST,571
37,67,59,MID,SOUTH,580
38,65,12,HIGH,WEST,687
39,35,27,LOW,NORTHEAST,743
40,55,24,LOW,MIDWEST,673
41,29,116,LOW,SOUTH,520
42,61,48,LOW,MIDWEST,540
43,58,105,MID,NORTHEAST,686
44,40,66,MID,NORTHEAST,700
45,24,60,LOW,SOUTH,571
46,73,112,HIGH,WEST,676
47,45,83,LOW,MIDWEST,761
48,69,28,MID,SOUTH,665
49,57,33,HIGH,NORTHEAST,641
50,63,79,MID,NORTHEAST,762
51,62,0,LOW,WEST,679
52,31,18,HIGH,SOUTH,659
53,40,8,MID,MIDWEST,629
54,46,85,LOW,MIDWEST,678
55,47,52,LOW,NORTHEAST,538
56,23,1,HIGH,WEST,726
57,50,88,LOW,SOUTH,661
58,29,78,HIGH,NORTHEAST,684
59,61,86,LOW,MIDWEST,650
60,57,19,LOW,MIDWEST,746
61,70,104,HIGH,WEST,631
62,61,21,HIGH,NORTHEAST,712
63,40,68,LOW,SOUTH,667
64,73,67,LOW,MIDWEST,716
65,43,26,MID,NORTHEAST,629
66,38,45,MID,SOUTH,711
67,69,6,MID,NORTHEAST,739
68,41,56,LOW,MIDWEST,686
69,25,81,HIGH,SOUTH,783
70,46,37,LOW,WEST,417
71,63,64,LOW,MIDWEST,651
72,31,114,LOW,MIDWEST,599
73,45,28,LOW,SOUTH,633
74,28,34,MID,SOUTH,561
75,58,14,LOW,SOUTH,677
76,46,65,MID,NORTHEAST,702
77,38,24,MID,MIDWEST,575
78,33,102,LOW,MIDWEST,680
79,51,34,HIGH,NORTHEAST,645
80,57,79,MID,MIDWEST,713
81,71,22,LOW,MIDWEST,521
82,44,38,LOW,MIDWEST,447
83,29,20,MID,WEST,590
84,65,66,MID,WEST,679
85,55,3,MID,MIDWEST,555
86,58,9,MID,MIDWEST,667
87,26,60,LOW,MIDWEST,582
88,37,65,HIGH,SOUTH,742
89,62,39,LOW,NORTHEAST,626
90,65,51,LOW,NORTHEAST,622
91,44,49,MID,MIDWEST,647
92,64,90,LOW,MIDWEST,548
93,66,53,MID,WEST,629
94,41,101,LOW,SOUTH,692
95,69,26,MID,WEST,708
96,36,23,MID,NORTHEAST,660
97,33,48,MID,WEST,784
98,57,9,MID,NORTHEAST,668
99,55,80,LOW,WEST,630
100,28,46,HIGH,NORTHEAST,738
101,65,43,MID,NORTHEAST,649
102,31,64,MID,MIDWEST,506
103,64,9,LOW,WEST,611
104,21,45,LOW,MIDWEST,694
105,64,116,MID,NORTHEAST,687
106,63,75,MID,MIDWEST,682
107,63,68,HIGH,WEST,656
108,56,60,HIGH,WEST,670
109,46,56,MID,SOUTH,694
110,59,112,MID,NORTHEAST,722
111,35,111,MID,NORTHEAST,458
112,63,49,LOW,MIDWEST,717
113,51,110,MID,MIDWEST,680
114,45,9,MID,NORTHEAST,627
115,48,38,LOW,WEST,567
116,51,36,LOW,MIDWEST,658
117,23,83,MID,MIDWEST,689
118,28,72,MID,WEST,621
119,34,56,LOW,WEST,424
120,27,30,LOW,NORTHEAST,683
121,44,60,LOW,NORTHEAST,627
122,57,32,HIGH,SOUTH,655
123,56,59,HIGH,SOUTH,686
124,46,40,HIGH,SOUTH,566
125,67,106,HIGH,MIDWEST,633
126,51,89,LOW,SOUTH,579
127,25,21,LOW,MIDWEST,786
128,62,112,MID,SOUTH,670
129,52,79,MID,WEST,650
130,55,42,MID,MIDWEST,540
131,51,63,LOW,SOUTH,641
132,50,23,HIGH,SOUTH,718
133,25,5,LOW,SOUTH,648
134,51,50,MID,NORTHEAST,720
135,63,93,HIGH,WEST,740
136,37,42,MID,MIDWEST,658
137,53,46,MID,NORTHEAST,794
138,22,118,MID,SOUTH,676
139,39,118,MID,MIDWEST,517
140,44,55,HIGH,SOUTH,765
141,74,5,MID,MIDWEST,671
142,32,81,MID,SOUTH,596
143,35,85,HIGH,WEST,680
144,43,109,MID,NORTHEAST,723
145,74,113,MID,WEST,707
146,67,75,MID,NORTHEAST,602
147,22,12,LOW,SOUTH,580
148,33,29,MID,MIDWEST,703
149,65,86,HIGH,SOUTH,646
150,24,72,LOW,SOUTH,641
151,67,52,LOW,WEST,620
152,36,48,LOW,WEST,692
153,70,85,MID,SOUTH,560
154,36,50,LOW,MIDWEST,603
155,44,18,MID,MIDWEST,636
156,56,117,LOW,MIDWEST,674
157,27,41,LOW,NORTHEAST,646
158,51,33,LOW,MIDWEST,684
159,48,8,LOW,WEST,543
160,63,56,HIGH,SOUTH,697
161,74,118,HIGH,NORTHEAST,685
162,56,19,MID,NORTHEAST,682
163,43,29,HIGH,NORTHEAST,603
164,42,21,LOW,NORTHEAST,555
165,43,11,HIGH,NORTHEAST,758
166,64,72,MID,SOUTH,654
167,38,35,MID,WEST,658
168,30,90,MID,MIDWEST,654
169,39,48,LOW,SOUTH,608
170,22,76,LOW,NORTHEAST,645
171,26,10,LOW,NORTHEAST,589
172,25,39,MID,MIDWEST,628
173,62,49,MID,SOUTH,477
174,60,7,HIGH,WEST,740
175,58,50,LOW,WEST,681
176,45,56,MID,MIDWEST,647
177,59,48,MID,MIDWEST,540
178,29,60,LOW,WEST,686
179,69,95,LOW,MIDWEST,686
180,48,92,MID,SOUTH,725
181,71,1,MID,MIDWEST,653
182,29,76,LOW,NORTHEAST,687
183,47,108,LOW,NORTHEAST,703
184,58,104,LOW,MIDWEST,618
